Phylum	Gram
Firmicutes	pos
Proteobacteria	neg
Aquificae	neg
Chlamidiae	neg
Bacteroidetes	neg
Chlorobi	neg
Cyanobacteria	neg
Fibrobacteres	neg
Verrucomicrobia	neg
Planctomycetes	neg
Spirochetes	neg
Spirochaetes	neg
Acidobacteria	neg
Hydrobacteria	neg
Negativicutes	neg
Fusobacteria	neg
Synergistetes	neg
Elusimicrobia	neg
Actinobacteria	pos
Gracilibacteria_(GN02)	neg
SR1/Absconditabacteria	pos
TM7/Saccharibacteria	pos
Chloroflexi	pos
Saccharibacteria_(TM7)	pos
Absconditabacteria_(SR1)	pos
Deinococcota	pos
Deinococci	pos
